t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
2.312400000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,3.000000000000000000e+00,1.000016399999999948e+02,1.679999999999999938e+00,1.600000000000000089e+00
2.412400000000000000e+04,5.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,3.000000000000000000e+00,1.000016499999999979e+02,1.679999999999999938e+00,1.600000000000000089e+00
2.512400000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.680000000000000160e+00,3.000000000000000000e+00,1.000016600000000011e+02,1.689999999999999947e+00,1.590000000000000080e+00
2.612300000000000000e+04,5.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.680000000000000160e+00,3.000000000000000000e+00,1.000016799999999932e+02,1.689999999999999947e+00,1.590000000000000080e+00
2.712400000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.660000000000000142e+00,3.000000000000000000e+00,1.000016300000000058e+02,1.689999999999999947e+00,1.570000000000000062e+00
2.812300000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.700000000000000178e+00,3.000000000000000000e+00,1.000016399999999948e+02,1.689999999999999947e+00,1.600000000000000089e+00
2.912300000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.669999999999999929e+00,3.000000000000000000e+00,1.000016399999999948e+02,1.689999999999999947e+00,1.570000000000000062e+00
3.012100000000000000e+04,5.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.680000000000000160e+00,3.000000000000000000e+00,1.000016700000000043e+02,1.689999999999999947e+00,1.580000000000000071e+00
3.112200000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,3.000000000000000000e+00,1.000016600000000011e+02,1.679999999999999938e+00,1.600000000000000089e+00
3.212000000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.700000000000000178e+00,3.000000000000000000e+00,1.000016799999999932e+02,1.689999999999999947e+00,1.600000000000000089e+00
3.312200000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.669999999999999929e+00,3.000000000000000000e+00,1.000016700000000043e+02,1.689999999999999947e+00,1.580000000000000071e+00
3.412200000000000000e+04,5.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.689999999999999947e+00,3.000000000000000000e+00,1.000016499999999979e+02,1.679999999999999938e+00,1.600000000000000089e+00
